address,bed_bath,more_info,price,status,zip_code
,,,,,60601
"182 W Lake St APT 813, Chicago, IL",1 bd · 1 ba · 550 sqft,http://www.zillow.com/homedetails/182-W-Lake-St-APT-813-Chicago-IL-60601/87722995_zpid/,"$156,000",Condo For Sale,60601
Sign in for details,-- bds · -- ba · -- sqft,http://www.zillow.com/homedetail/AuthRequired.htm?r=pfc&zpid=127018786,,Pre-Foreclosure,60601
Sign in for details,-- bds · -- ba · -- sqft,http://www.zillow.com/homedetail/AuthRequired.htm?r=pfc&zpid=128573939,,Pre-Foreclosure,60601
Sign in for details,-- bds · 1 ba · 650 sqft,http://www.zillow.com/homedetail/AuthRequired.htm?r=pfc&zpid=128460029,,Pre-Foreclosure (Auction),60601
"222 N Columbus Dr APT 3103, Chicago, IL","2 bds · 2 ba · 1,225 sqft",http://www.zillow.com/homedetails/222-N-Columbus-Dr-APT-3103-Chicago-IL-60601/80832087_zpid/,"$409,000",Condo For Sale,60601
"222 N Columbus Dr APT 1907, Chicago, IL",1 bd · 1 ba · 685 sqft,http://www.zillow.com/homedetails/222-N-Columbus-Dr-APT-1907-Chicago-IL-60601/80809546_zpid/,"$265,000",Condo For Sale,60601
"360 E Randolph St APT 2607, Chicago, IL","2 bds · 2 ba · 1,300 sqft",http://www.zillow.com/homedetails/360-E-Randolph-St-APT-2607-Chicago-IL-60601/3868904_zpid/,"$609,000",Condo For Sale,60601
"155 N Harbor Dr APT 5306, Chicago, IL",1 bd · 1 ba · 758 sqft,http://www.zillow.com/homedetails/155-N-Harbor-Dr-APT-5306-Chicago-IL-60601/3870677_zpid/,"$303,000",Condo For Sale,60601
"400 E Randolph St APT 2410, Chicago, IL","2 bds · 2 ba · 1,250 sqft",http://www.zillow.com/homedetails/400-E-Randolph-St-APT-2410-Chicago-IL-60601/2135819626_zpid/,"$440,000",For Sale by Owner,60601
